ROUND,IP_ADDRESS,DOWNLOADS,EXTERNAL_ID,NAME,FULL_TITLE,DOI,CODE,LATEST_TITLE
201601,61.220.116.140,1,EAL0001730,CONCERT - National Taipei University of Technology,Australian Endodontic Journal,10.1111/(ISSN)1747-4477,AEJ,Australian Endodontic Journal
201601,61.219.55.201,1,EAL0001730,CONCERT - National Taipei University of Technology,Australian Journal of Grape and Wine Research,10.1111/(ISSN)1755-0238,AJGW,Australian Journal of Grape and Wine Research
201601,140.124.4.101,1,EAL0001730,CONCERT - National Taipei University of Technology,Autism Research,10.1002/(ISSN)1939-3806,AUR,Autism Research
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,Basic &amp; Clinical Pharmacology &amp; Toxicology,10.1111/(ISSN)1742-7843,BCPT,Basic & Clinical Pharmacology & Toxicology
201601,61.219.55.198,1,EAL0001730,CONCERT - National Taipei University of Technology,Basic &amp; Clinical Pharmacology &amp; Toxicology,10.1111/(ISSN)1742-7843,BCPT,Basic & Clinical Pharmacology & Toxicology
201601,60.250.162.7,1,EAL0001730,CONCERT - National Taipei University of Technology,Bell Labs Technical Journal,10.1002/(ISSN)1538-7305,BLTJ,Bell Labs Technical Journal
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,Beton&#8208; und Stahlbetonbau,10.1002/(ISSN)1437-1006,2093,Beton- und Stahlbetonbau
201601,60.250.162.104,1,EAL0001730,CONCERT - National Taipei University of Technology,Biochemical Education,10.1002/(ISSN)1879-1468,BMB,Biochemistry and Molecular Biology Education
201601,61.219.55.204,1,EAL0001730,CONCERT - National Taipei University of Technology,Biochemical Education,10.1002/(ISSN)1879-1468,BMB,Biochemistry and Molecular Biology Education
201601,60.250.162.9,1,EAL0001730,CONCERT - National Taipei University of Technology,BioEssays,10.1002/(ISSN)1521-1878,BIES,BioEssays
201601,60.250.162.100,1,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,60.250.162.9,2,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,61.219.55.205,1,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,61.220.116.132,1,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,61.220.116.134,1,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,61.220.116.136,2,EAL0001730,CONCERT - National Taipei University of Technology,Biomedical Chromatography,10.1002/(ISSN)1099-0801,BMC,Biomedical Chromatography
201601,60.250.162.4,1,EAL0001730,CONCERT - National Taipei University of Technology,Biopolymers,10.1002/(ISSN)1097-0282,BIP,Biopolymers
201601,61.219.55.204,1,EAL0001730,CONCERT - National Taipei University of Technology,Biotechnology and Bioengineering,10.1002/(ISSN)1097-0290,BIT,Biotechnology and Bioengineering
201601,61.219.55.199,1,EAL0001730,CONCERT - National Taipei University of Technology,Biotechnology Progress,10.1021/(ISSN)1520-6033,BTPR,Biotechnology Progress
201601,140.124.4.101,1,EAL0001730,CONCERT - National Taipei University of Technology,Biotropica,10.1111/(ISSN)1744-7429,BTP,Biotropica
201601,60.250.162.108,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Educational Technology,10.1111/(ISSN)1467-8535,BJET,British Journal of Educational Technology
201601,61.219.55.205,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Educational Technology,10.1111/(ISSN)1467-8535,BJET,British Journal of Educational Technology
201601,61.220.116.132,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Educational Technology,10.1111/(ISSN)1467-8535,BJET,British Journal of Educational Technology
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Management,10.1111/(ISSN)1467-8551,BJOM,British Journal of Management
201601,61.219.55.201,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Management,10.1111/(ISSN)1467-8551,BJOM,British Journal of Management
201601,61.219.55.204,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Management,10.1111/(ISSN)1467-8551,BJOM,British Journal of Management
201601,60.250.162.10,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Surgery,10.1002/(ISSN)1365-2168,BJS,British Journal of Surgery
201601,60.250.162.100,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Surgery,10.1002/(ISSN)1365-2168,BJS,British Journal of Surgery
201601,60.250.162.13,1,EAL0001730,CONCERT - National Taipei University of Technology,British Journal of Surgery,10.1002/(ISSN)1365-2168,BJS,British Journal of Surgery
201601,60.250.162.5,1,EAL0001730,CONCERT - National Taipei University of Technology,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,10.1002/(ISSN)1936-4490,CJAS,Canadian Journal of Administrative Sciences - Revue Canadienne des Sciences de l'Administration
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,10.1002/(ISSN)1936-4490,CJAS,Canadian Journal of Administrative Sciences - Revue Canadienne des Sciences de l'Administration
201601,60.250.162.101,1,EAL0001730,CONCERT - National Taipei University of Technology,Cancer,10.1002/(ISSN)1097-0142,CNCR,Cancer
201601,60.250.162.102,1,EAL0001730,CONCERT - National Taipei University of Technology,Cancer,10.1002/(ISSN)1097-0142,CNCR,Cancer
201601,60.250.162.104,1,EAL0001730,CONCERT - National Taipei University of Technology,Cancer,10.1002/(ISSN)1097-0142,CNCR,Cancer
201601,60.250.162.8,2,EAL0001730,CONCERT - National Taipei University of Technology,Cancer,10.1002/(ISSN)1097-0142,CNCR,Cancer
